Neighb ID,Neighbourhood Name,Total Population ^,   VISIBLE MINORITY POPULATIONS (Numerators),,,,,,,,,,,,,,,,,,,,,NOT VISIBLE MINORITY POPULATION,   VISIBLE MINORITY POPULATIONS (%),,,,,,,,,,,,,NOT VISIBLE MINORITY POPULATION
,,,All Visible Minorities,South Asian,Chinese ,"Chinese 
Report with 
caution (*)",Black ,Filipino ,Arab#,Arab Report with caution (*),Latin American#,"Latin American
Report with 
caution (*)",Southeast Asian,"Southeast Asian
Report with 
caution (*)",West Asian,"West Asian
Report with 
caution (*)",Korean ,Korean Report with caution (*),Japanese ,Japanese Report with caution (*),Visible Minority Not Included Elsewhere,"Visible Minority Not Included Elsewhere
Report with caution (*)",Multiple Visible Minorities,Population - Both,All Visible Minorities,South Asian,Chinese ,Black ,Filipino ,Arab#,Latin American#,Southeast Asian,West Asian,Korean ,Japanese ,Visible Minority Not Included Elsewhere,Multiple Visible Minorities,Population - Both (%)
12,Markland Wood,10355,1865,365,415,,170,135,50,,125,,0,,0,,110,,25,*,10,*,60,8515,18.0,3.5,4.0,1.6,1.3,0.5,1.2,0.0,0.0,1.1,0.2,0.1,0.6,82.2
13,Etobicoke West Mall,11860,5480,1445,295,,1110,660,60,,520,,160,,185,,170,,15,*,235,,280,6380,46.2,12.2,2.5,9.4,5.6,0.5,4.4,1.3,1.6,1.4,0.1,2.0,2.4,53.8
15,Kingsway South,8860,1200,255,210,,55,65,0,,60,,35,,60,,15,*,0,,10,*,75,7655,13.5,2.9,2.4,0.6,0.7,0.0,0.7,0.4,0.7,0.2,0.0,0.1,0.8,86.4
16,Stonegate-Queensway,25665,6010,1210,815,,595,210,75,,425,,325,,210,,160,,60,,340,,295,19635,23.4,4.7,3.2,2.3,0.8,0.3,1.7,1.3,0.8,0.6,0.2,1.3,1.1,76.5
18,New Toronto,11340,4585,710,260,,1355,485,65,,440,,125,,20,*,60,,0,,320,,235,6750,40.4,6.3,2.3,11.9,4.3,0.6,3.9,1.1,0.2,0.5,0.0,2.8,2.1,59.5
19,Long Branch,11365,3755,710,455,,735,375,30,,370,,160,,40,,35,,50,,205,,115,7605,33.0,6.2,4.0,6.5,3.3,0.3,3.3,1.4,0.4,0.3,0.4,1.8,1.0,66.9
20,Alderwood,12605,3225,700,395,,325,490,45,,200,,50,,0,,0,,25,*,160,,160,9370,25.6,5.6,3.1,2.6,3.9,0.4,1.6,0.4,0.0,0.0,0.2,1.3,1.3,74.3
21,Humber Summit,12180,8000,3760,35,,1345,395,305,,650,,415,,85,,25,*,0,,230,,125,4175,65.7,30.9,0.3,11.0,3.2,2.5,5.3,3.4,0.7,0.2,0.0,1.9,1.0,34.3
22,Humbermede,16940,13725,2820,95,,4300,1510,105,,2185,,1200,,140,,80,,0,,380,,475,3215,81.0,16.6,0.6,25.4,8.9,0.6,12.9,7.1,0.8,0.5,0.0,2.2,2.8,19.0
23,Pelmo Park-Humberlea,11280,5880,790,365,,1615,720,0,,865,,640,,50,,20,*,0,,185,,205,5395,52.1,7.0,3.2,14.3,6.4,0.0,7.7,5.7,0.4,0.2,0.0,1.6,1.8,47.8
24,Black Creek,21145,17855,2010,510,,6530,1225,775,,1650,,2675,,515,,0,,0,,855,,820,3270,84.4,9.5,2.4,30.9,5.8,3.7,7.8,12.7,2.4,0.0,0.0,4.0,3.9,15.5
25,Glenfield-Jane Heights,30000,23590,1950,680,,6970,2145,155,,3215,,4880,,375,,10,*,0,,1050,,1250,6425,78.6,6.5,2.3,23.2,7.2,0.5,10.7,16.3,1.3,0.0,0.0,3.5,4.2,21.4
27,York University Heights,28260,21420,4475,1125,,5555,3770,235,,1705,,1745,,480,,315,,20,*,510,,815,6870,75.8,15.8,4.0,19.7,13.3,0.8,6.0,6.2,1.7,1.1,0.1,1.8,2.9,24.3
28,Rustic,9385,6000,480,50,,3500,430,0,,720,,315,,0,,0,,0,,105,,225,3390,63.9,5.1,0.5,37.3,4.6,0.0,7.7,3.4,0.0,0.0,0.0,1.1,2.4,36.1
29,Maple Leaf,9840,4680,725,45,,695,1345,70,,935,,225,,20,*,0,,0,,0,,185,5180,47.6,7.4,0.5,7.1,13.7,0.7,9.5,2.3,0.2,0.0,0.0,0.0,1.9,52.6
30,Brookhaven-Amesbury,17505,12175,1320,295,,4940,1520,70,,1655,,1210,,55,,15,*,0,,295,,610,5335,69.6,7.5,1.7,28.2,8.7,0.4,9.5,6.9,0.3,0.1,0.0,1.7,3.5,30.5
31,Yorkdale-Glen Park,16630,8555,1100,685,,1680,1570,10,*,1325,,725,,85,,100,,10,*,365,,370,8065,51.4,6.6,4.1,10.1,9.4,0.1,8.0,4.4,0.5,0.6,0.1,2.2,2.2,48.5
32,Englemount-Lawrence,21295,9300,400,430,,2095,4365,55,,610,,140,,160,,0,,10,*,85,,260,11990,43.7,1.9,2.0,9.8,20.5,0.3,2.9,0.7,0.8,0.0,0.0,0.4,1.2,56.3
33,Clanton Park,17620,8160,700,800,,975,3400,60,,490,,215,,305,,175,,30,,110,,355,9460,46.3,4.0,4.5,5.5,19.3,0.3,2.8,1.2,1.7,1.0,0.2,0.6,2.0,53.7
34,Bathurst Manor,15935,6815,620,820,,600,2275,80,,550,,250,,450,,350,,0,,75,,195,9160,42.8,3.9,5.1,3.8,14.3,0.5,3.5,1.6,2.8,2.2,0.0,0.5,1.2,57.5
35,Westminster-Branson,25695,13675,910,645,,1020,6910,190,,690,,230,,1135,,635,,15,*,265,,355,12040,53.2,3.5,2.5,4.0,26.9,0.7,2.7,0.9,4.4,2.5,0.1,1.0,1.4,46.9
36,Newtonbrook West,23815,15645,1150,2545,,675,4880,195,,475,,270,,1965,,2115,,10,*,85,,505,8160,65.7,4.8,10.7,2.8,20.5,0.8,2.0,1.1,8.3,8.9,0.0,0.4,2.1,34.3
37,Willowdale West,17165,10945,905,4135,,300,500,150,,210,,155,,1900,,1890,,75,,45,,305,6240,63.8,5.3,24.1,1.7,2.9,0.9,1.2,0.9,11.1,11.0,0.4,0.3,1.8,36.4
